date,lat_bin,lon_bin,mmsi,fishing_hours
2016-10-21,0,1485,416003632,1.3623611111111111
2016-10-21,0,1486,416003632,1.171388888888889
2016-10-21,0,1484,416003632,3.8581944444444449
2016-10-21,0,1495,416003632,4.7376388888888892
2016-10-21,0,1603,416000855,2.743611111111111
2016-10-21,0,1649,557005500,0.66902777777777778
2016-10-21,0,575,412326874,6.2295833333333333
2016-10-21,0,576,412326874,11.428055555555556
2016-10-21,0,577,412326874,0.80402777777777779
2016-10-21,0,578,412326874,5.9304166666666678
2016-10-21,0,1611,419740410,1.5325
2016-10-21,256,-199,224081430,0.32722222222222219
2016-10-21,256,-200,224081430,0.70305555555555554
2016-10-21,256,1200,412443933,7.2541666666666664
2016-10-21,256,573,422074400,1.2966666666666666
2016-10-21,256,572,422074400,5.5265277777777779
2016-10-21,256,1201,412443435,5.9333333333333336
2016-10-21,256,572,422073400,0.86125000000000007
2016-10-21,256,573,422073400,0.63763888888888887
2016-10-21,256,-1132,345900418,2.0931944444444448
2016-10-21,256,573,412463276,1.5675
2016-10-21,256,1665,416220900,5.905
2016-10-21,256,572,422069500,0.28597222222222218
2016-10-21,256,573,422069500,0.53680555555555554
2016-10-21,256,571,422069500,0.40388888888888885
2016-10-21,512,-62,250002435,2.0501388888888887
2016-10-21,512,14,235107334,1.3877777777777778
2016-10-21,512,-84,250000657,0.27777777777777779
2016-10-21,512,-89,250000657,0.54402777777777778
2016-10-21,512,-85,250000657,0.81930555555555551
2016-10-21,512,-86,250000657,1.0666666666666667
2016-10-21,512,-88,250001702,1.066527777777778
2016-10-21,512,-82,250001702,1.7890277777777777
2016-10-21,512,-86,250001702,5.0801388888888894
2016-10-21,512,-84,250001702,1.9473611111111113
2016-10-21,512,-85,250001702,4.8209722222222222
2016-10-21,512,-87,250001702,3.4869444444444442
2016-10-21,512,-83,250001702,0.76097222222222216
2016-10-21,512,29,205150000,0.071111111111111111
2016-10-21,512,28,205150000,0.068194444444444446
2016-10-21,512,-89,250000699,14.149861111111109
2016-10-21,512,-87,250000699,2.6311111111111112
2016-10-21,512,-85,250000699,2.3931944444444446
2016-10-21,512,-88,250000699,2.4222222222222221
2016-10-21,512,-86,250000699,2.3209722222222222
2016-10-21,512,-64,250184000,3.0820833333333333
2016-10-21,512,26,205320000,2.8308333333333326
2016-10-21,512,-56,235095109,5.99625
2016-10-21,512,-55,235095109,1.625
2016-10-21,512,-54,235095109,1.0456944444444445
2016-10-21,512,-63,250397000,8.035
2016-10-21,512,-64,250397000,2.6251388888888889
2016-10-21,512,24,228317000,0.23069444444444448
2016-10-21,512,30,205010000,2.3586111111111108
2016-10-21,512,-60,228946000,0.98194444444444451
2016-10-21,512,-63,250002776,0.94458333333333333
2016-10-21,512,-64,250002776,2.4833333333333334
2016-10-21,512,21,227318640,1.1325
2016-10-21,512,22,227318640,3.1969444444444446
2016-10-21,512,-72,250116470,3.7041666666666666
2016-10-21,512,-73,250116470,6.2680555555555557
2016-10-21,512,-66,250113400,1.5330555555555556
2016-10-21,512,-67,250113400,8.75
2016-10-21,512,-62,233296000,11.34986111111111
2016-10-21,512,-64,250115460,7.5709722222222222
2016-10-21,512,-63,250115460,0.51611111111111119
2016-10-21,512,18,228070800,3.3900000000000006
2016-10-21,512,17,228070800,3.3987500000000019
2016-10-21,512,-49,235011218,4.1576388888888891
2016-10-21,512,-48,235011218,0.11777777777777777
2016-10-21,512,-47,235113634,1.8613888888888888
2016-10-21,512,-45,235113634,1.4626388888888888
2016-10-21,512,-72,250489000,1.8345833333333332
2016-10-21,512,-80,250002872,2.5886111111111108
2016-10-21,512,28,205315000,4.2302777777777782
2016-10-21,512,29,205315000,10.445555555555558
2016-10-21,512,24,205272000,3.7870833333333334
2016-10-21,512,21,205272000,6.05125
2016-10-21,512,-79,250392000,18.410972222222224
2016-10-21,512,-76,250392000,2.5612500000000002
2016-10-21,512,-78,250392000,4.9558333333333335
2016-10-21,512,-80,250392000,1.0609722222222222
2016-10-21,512,-64,250264000,1.6040277777777776
2016-10-21,512,-63,250264000,13.620694444444446
2016-10-21,512,-91,250477000,1.8277777777777777
2016-10-21,512,-83,250003659,1.0733333333333335
2016-10-21,512,-89,250003172,6.9444444444444446
2016-10-21,512,19,228124900,1.5684722222222223
2016-10-21,512,-66,250106600,8.7409722222222221
2016-10-21,512,29,205281000,3.0075000000000007
2016-10-21,512,28,205281000,0.30291666666666667
2016-10-21,512,-63,250000626,0.29736111111111113
2016-10-21,512,-64,250000626,8.237222222222222
2016-10-21,512,-51,205259000,2.7131944444444445
2016-10-21,512,-50,205259000,0.27652777777777782
2016-10-21,512,-52,205259000,1.6993055555555556
2016-10-21,512,-85,250003704,0.32486111111111116
2016-10-21,512,23,227320060,1.3945833333333333
2016-10-21,768,231,273351680,3.666805555555555
2016-10-21,768,233,273351680,0.58291666666666675
2016-10-21,768,232,273351680,1.2269444444444444
2016-10-21,768,233,273312270,1.5890277777777779
2016-10-21,768,231,273312270,0.61208333333333331
2016-10-21,768,232,273312270,0.77652777777777771
2016-10-21,768,230,273312270,0.27013888888888893
2016-10-21,768,234,273312270,0.84847222222222229
2016-10-21,768,229,273312270,0.19013888888888889
2016-10-21,768,235,273312270,0.83458333333333334
2016-10-21,768,234,258410000,0.81138888888888872
2016-10-21,768,236,258410000,0.79875000000000007
2016-10-21,768,233,258410000,0.80972222222222223
2016-10-21,768,236,258943000,0.90763888888888888
2016-10-21,768,232,258943000,0.36736111111111108
2016-10-21,768,235,258943000,1.1223611111111111
2016-10-21,768,234,258943000,1.6555555555555554
2016-10-21,768,230,258943000,0.47916666666666663
2016-10-21,768,233,258943000,1.2415277777777778
2016-10-21,768,231,258943000,0.82972222222222225
2016-10-21,768,445,231124000,1.5965277777777771
2016-10-21,768,446,231124000,1.1148611111111111
2016-10-21,768,230,273845800,1.8952777777777776
